permit_type,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,tcad_id,issued_date,calendar_year_issued,fiscal_year_issued,status_current,expires_date,completed_date,council_district,housing_units,number_of_floors,total_job_valuation,original_zip,jurisdiction,link,project_id,master_permit_num,contractor_company_name,contractor_phone,contractor_zip,applicant_organization,applicant_phone,certificate_of_occupancy,original_address_1
BP,2003-019190 BP,Residential,R- 101 Single Family Houses,New,No,6404 Walnut Hills Dr,New Two Story Res W/Att Covered Porch (S.M.A.R.T. Housing),0221220230,2003-09-30,2003,2003,Final,2004-03-31,2004-03-31,4,NA,2,"$80,000.00",78723,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704920,704920,230839,"Double Tt, Inc",5123581600,78736,NA,NA,Yes,6404 WALNUT HILLS DR
BP,2003-012159 BP,Residential,R- 101 Single Family Houses,New,No,11117 Sandstone Trl,New Two Story Res W/Att Garage Covered Patio & Porch,R399789,2003-10-13,2003,2004,Final,2004-04-15,2004-04-15,6,NA,2,"$148,575.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704013,704013,231101,"Wilshire Homes, L.P.",5124853335,78759,NA,NA,Yes,11117 SANDSTONE TRL
BP,2003-011631 BP,Residential,R- 101 Single Family Houses,New,No,10104 Tularosa Pass,New Two Story Res W/Att Garage & Covered Porch,0166210931,2003-10-09,2003,2004,Final,2004-01-21,2004-01-21,6,NA,2,"$157,500.00",78726,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703761,703761,230945,David Weekley Homes (MAIN),5128218885,78758,NA,NA,Yes,10104 TULAROSA PASS
BP,2003-015996 BP,Residential,R- 101 Single Family Houses,New,No,9209 Pioneer Forest Dr,New Two Story Res W/Att Garage Covered Patio & Porch,0434070617,2003-11-14,2003,2004,Final,2004-03-24,2004-03-24,5,NA,2,"$88,722.00",78744,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704642,704642,232108,Village Builders,5123362223,78759,NA,NA,Yes,9209 PIONEER FOREST DR
BP,2003-006251 BP,Residential,R- 101 Single Family Houses,New,No,11020 Pairnoy Ln,New Two Story Res W/Att Garage Covered Patio & Porch,0424500301,2003-11-14,2003,2004,Final,2004-05-27,2004-05-27,8,NA,2,"$246,594.00",78739,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710017,710017,232191,"Streetman Homes, Ltd LLP",5123299966,78746,NA,NA,Yes,11020 PAIRNOY LN
BP,2003-011938 BP,Residential,R- 101 Single Family Houses,New,No,12404 Gatling Gun Ln,New One Story Res W/Att Garage Covered Patio & Covered Porch,0438340509,2003-10-16,2003,2004,Final,2004-02-04,2004-02-04,8,NA,1,"$172,644.00",78739,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703893,703893,231112,Lennar Homes of Texas***MAIN***,5125064000,78717,NA,NA,Yes,12404 GATLING GUN LN
BP,2003-015260 BP,Residential,R- 101 Single Family Houses,New,No,16709 Ennis Trl,New One Story Res W/Att Garage Covered Patio & Porch,R412009,2003-10-28,2003,2004,Final,2004-03-10,2004-03-10,6,NA,1,"$89,985.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704297,704297,231669,"Milburn, Bill",5123454663,78727,NA,NA,Yes,16709 ENNIS TRL
BP,2003-012141 BP,Residential,R- 101 Single Family Houses,New,No,10105 Tularosa Pass,New Two Story Res W/Att Garage & Covered Porch,0166210618,2003-10-09,2003,2004,Final,2004-02-17,2004-02-17,6,NA,2,"$150,000.00",78726,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704002,704002,230943,David Weekley Homes (MAIN),5128218885,78758,NA,NA,Yes,10105 TULAROSA PASS
BP,2003-015514 BP,Residential,R- 101 Single Family Houses,New,No,2601 Lou John St,New One Story Res W/Att Garage Covered Porch & Uncovered Patio,0268160741,2003-11-06,2003,2004,Final,2004-01-20,2004-01-20,7,NA,1,"$92,209.00",78727,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704435,704435,231812,David Weekley Homes (MAIN),5128218885,78758,NA,NA,Yes,2601 LOU JOHN ST
BP,2003-007947 BP,Residential,R- 101 Single Family Houses,New,No,1700 Goddard Bluff Dr,New One Story Res W/Att Garage Covered Patio & Porch,0247300311,2003-09-29,2003,2003,Final,2003-12-31,2003-12-31,1,NA,1,"$73,395.00",78754,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=745040,745040,230202,Newmark Homes LLC,5123455147,78734,NA,NA,Yes,1700 GODDARD BLUFF DR
