project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
3105 NORTHEAST DR,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 1: New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Garage. 3105 Northeast Dr.",2026-05-09,1,2,3105 NORTHEAST DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13588334,3105 NORTHEAST DRIVE,NA,Austin,Texas,United States
4900 EASTON LN,Cascade 330-T-L Is a New one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-06-02,1,1,4900 EASTON LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711496,4900 EASTON LANE,NA,Austin,Texas,United States
5808 VAN WINKLE LN,"Two Stry Res W/Breezway Att Gar&Covered Porch

5/22/26 Life safety inspection to occur for purposes of establishing CO.",2026-05-22,1,2,5808 VAN WINKLE LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=630385,5808 VAN WINKLE LANE,NA,Austin,Texas,United States
9512 WIGGY WAY,New construction single-family residential 1-story 4 bedroom 3 bedroom with attached 3-car garage covered front porch and covered rear patio.,2026-05-21,1,1,9512 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707959,9512 WIGGY WAY,NA,Austin,Texas,United States
1207 DWYCE DR,ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 4bath] with attached garage,2026-05-15,1,2,1207 DWYCE DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704977,1207 DWYCE DRIVE,NA,Austin,Texas,United States
6400 LAUTNER LN,"New construction of 2 story sfr condo with 3 beds 2.5 baths and attached 2 car garage

PUD",2026-05-11,1,2,6400 LAUTNER LN,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700350,6400 LAUTNER LANE,NA,Austin,Texas,United States
11212 KOKO CAYUSE TRL,*PB* New construction of 2 Story SFR with attached garage and covered patio and porch 4/3,2026-05-20,1,2,11212 KOKO CAYUSE TRL,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704677,11212 KOKO CAYUSE TRAIL,NA,Austin,Texas,United States
7205 EAGLE ROSE RD,"New 1-story single family residence 3 bedrooms/2 bathrooms attached garage covered porch and patio

PUD",2026-05-05,1,1,7205 EAGLE ROSE RD,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698547,7205 EAGLE ROSE ROAD,NA,Austin,Texas,United States
6311 ROTUNDA VW,"New construction of sfr with 3 beds 2 baths 2 car garage alley access

PUD",2026-05-24,1,1,6311 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708393,6311 ROTUNDA VW,NA,Austin,Texas,United States
4816 ABERDEEN DR BLDG 2,Bldg 2 New Construction of  3-Story Single Family Res. [3bed 2.5bath],2026-05-21,1,3,4816 ABERDEEN DR BLDG 2,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707328,4816 ABERDEEN DRIVE BLDG 2,NA,Austin,Texas,United States
12183 WINDY RIDGE RD,New 2-story single family residence 4 bed/3.5 bath attached garage covered patio and porch water service by well and septic for WW.,2026-05-06,1,2,12183 WINDY RIDGE RD,78726,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13668818,12183 WINDY RIDGE ROAD,NA,Austin,Texas,United States
1708 COLLIER ST BLDG 1,Bldg 1: New construction of 3 story SFR 3 bedroom 2.5 bath w/ covered porch and patio,2026-06-03,1,3,1708 COLLIER ST BLDG 1,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708640,1708 COLLIER STREET BLDG 1,NA,Austin,Texas,United States
1812 MARGARET ST UNIT A,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [4bed 4bath]. Unit A,2026-05-01,1,2,1812 MARGARET ST UNIT A,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695853,1812 MARGARET STREET UNIT A,NA,Austin,Texas,United States
1508 MADISON AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic and Attached Carport.,2026-05-22,1,2,1508 MADISON AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13709157,1508 MADISON AVE,NA,Austin,Texas,United States
8000 BIRD SONG CIR,*PRODUCTION BUILDER- CONDO* - New construction of a 2-story single family dwelling in a condo regime. Duplex 3 bedroom 2.5 bath with attached garage (Unit A),2026-05-04,1,2,8000 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696875,8000 BIRD SONG CIR,NA,Austin,Texas,United States
9701 MURMURING CREEK DR BLDG 2,New 1-story 2 bedroom 1 bathroom dwelling unit.,2026-05-12,1,1,9701 MURMURING CREEK DR BLDG 2,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13701290,9701 MURMURING CREEK DRIVE BLDG 2,NA,Austin,Texas,United States
