project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
913 CAPITOL CT BLDG 1,ePlan: Residential Expedited Review - New TWO UNIT RES.  Bldg 1 New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage,2025-07-23,1,2,913 CAPITOL CT BLDG 1,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13548941,913 CAPITOL CT BLDG 1,NA,Austin,Texas,United States,1
4907 STRASS DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3bath] with attached garage,2025-07-24,1,2,4907 STRASS DR,78731,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13481278,4907 STRASS DRIVE,NA,Austin,Texas,United States,1
2308 S 2ND ST BLDG 2,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath]. Bldg 2,2025-08-04,1,2,2308 S 2ND ST BLDG 2,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13503247,2308 SOUTH 2ND STREET BLDG 2,NA,Austin,Texas,United States,1
1816 W 38TH ST #1B,Bldg 1B: 2 story sfr within duplex. 1.5 bathroom 2 bedroom with covered porch.,2025-08-01,1,2,1816 W 38TH ST,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555495,1816 WEST 38TH STREET,NA,Austin,Texas,United States,1
3011 WESTLAKE DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [9bed 13.5bath] with Attached Garages,2025-07-21,1,2,3011 WESTLAKE DR,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13548032,3011 WESTLAKE DRIVE,NA,Austin,Texas,United States,1
1217 HARVEY ST BLDG 3,Bldg 3: New construction of a 2-Story residence [3 bed 2.5 bath] with Attached Carport.  Part of three-unit use.,2025-07-16,1,2,1217 HARVEY ST BLDG 3,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13550218,1217 HARVEY STREET BLDG 3,NA,Austin,Texas,United States,1
6004 SPANCREEK CIR,New 1-story single family home 3 bed/2.5 bath with attached garage covered porch and patio,2025-08-04,1,1,6004 SPANCREEK CIR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13556811,6004 SPANCREEK CIR,NA,Austin,Texas,United States,1
10416 CURB STRAP DR,"New construction of 1 story SFR with attached garage covered porch and patio

PUD",2025-07-15,1,1,10416 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13546090,10416 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
943 E 52ND ST,New 3 story SFR with 3 bed 2.5 bath attached carport and front covered porch/rear covered patio,2025-08-07,1,3,943 E 52ND ST,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560948,943 EAST 52ND STREET,NA,Austin,Texas,United States,1
3616 PENNSYLVANIA AVE BLDG 1,Bldg #1: New 2-story dwelling unit 2 Bed/1.5 bath with attached carport uncovered wood deck and driveway,2025-07-15,1,2,3616 PENNSYLVANIA AVE BLDG 1,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13512792,3616 PENNSYLVANIA AVE BLDG 1,NA,Austin,Texas,United States,1
2605 W 10TH ST,ePlan: Residential Expedited Review:  New construction of a 2-Story Single Family Res. [5 bed 4bath] with Attached Carport.,2025-07-17,1,2,2605 W 10TH ST,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549052,2605 WEST 10TH STREET,NA,Austin,Texas,United States,1
2210 WILLOW ST--BLDG 2,BLDG 2: New two-story SFR (2br/2.5ba),2025-07-28,1,2,2210 WILLOW ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13554486,2210 WILLOW STREET BLDG 2,NA,Austin,Texas,United States,1
2006 GARDEN ST--UNIT 2,"ePlan: Residential Expedited Review: New TWO UNIT RES: 
BLDG 2: New 2-story residence with 2 bedroom 2.5 bathroom.",2025-07-15,1,2,2006 GARDEN ST UNIT 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547620,2006 GARDEN STREET UNIT 2,NA,Austin,Texas,United States,1
5907 CAMINO REAL,5907 Cmino Real - Unit 1 - New construction of 3 story SFR with attached carport 3 bedrooms 2.5 baths and loft.,2025-08-08,1,3,5907 CAMINO REAL,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560806,5907 CAMINO REAL,NA,Austin,Texas,United States,1
17130 RADIANT DR,*SMART Housing* *Green Building* New 1-story 3 bedroom 2 bathroom single family residence with covered front porch and rear covered patio.,2025-07-28,1,1,17130 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555166,17130 RADIANT DRIVE,NA,Austin,Texas,United States,1
10208 CURB STRAP DR,New construction single-family residential 1-story 4 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.,2025-07-18,1,1,10208 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549503,10208 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
5909 CAMINO REAL,5909 Cmino Real - Unit 2 - New construction of 3 story SFR with attached carport 3 bedrooms 2.5 baths and loft.,2025-08-08,1,3,5909 CAMINO REAL,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560807,5909 CAMINO REAL,NA,Austin,Texas,United States,1
17134 RADIANT DR,*SMART Housing* *Green Building* New 1-story 3 bedroom 2 bathroom single family residence with covered front porch and rear covered patio.,2025-08-07,1,1,17134 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13562060,17134 RADIANT DRIVE,NA,Austin,Texas,United States,1
8611 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 3 Bedrooms 2.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8000 PONCHO PASS 2025-070709 (INCLUDES 22 ADDRESSES.)",2025-07-28,1,2,8611 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555991,8611 COSMICO STREET,NA,Austin,Texas,United States,1
1004 JUANITA ST BLDG 1,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg1 New 2-story SF Res [3bed 3.5bath] with attached carport",2025-07-24,1,2,1004 JUANITA ST BLDG 1,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549486,1004 JUANITA STREET BLDG 1,NA,Austin,Texas,United States,1
8607 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 4 Bedrooms 3.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8002 PONCHO PASS 2025-070719 PR (INCLUDES 23 ADDRESSES.)",2025-07-28,1,2,8607 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555625,8607 COSMICO STREET,NA,Austin,Texas,United States,1
2210 WILLOW ST--BLDG 3,BLDG:3 New 2 story SFR (3br/3.5ba) with attached carport and covered patio. Alley Access.,2025-07-28,1,3,2210 WILLOW ST BLDG 3,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13554507,2210 WILLOW STREET BLDG 3,NA,Austin,Texas,United States,1
806 E 31ST ST BLDG 3,"ePlan: Residential Expedited Review : New three unit residential
Building 3: New construction of a 3-Story Single Family Res. [4bed 4bath] with Attached Carport


4/15 CM
Plan review (Elliot Bucknall)  has approved for bathroom on 3rd floor to be finished out. Plans only show it to be roughed in.",2025-07-15,1,3,806 E 31ST ST BLDG 3,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13546136,806 EAST 31ST STREET BLDG 3,NA,Austin,Texas,United States,1
607 TILLERY ST--BLDG 2--(13D REQ),"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 2 New construction of a 3-Story Single Family Res. [3bed 3.5bath] with Attached Carport",2025-08-12,1,3,607 TILLERY ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13546583,607 TILLERY STREET BLDG 2,NA,Austin,Texas,United States,1
1012 W MILTON ST UNIT 2B,ePlan: Residential Expedited Review - Unit 2B  Bldg 2.  New construction of a 2-Story Duplex unit [3 bed 3 bath].  Part of 3-unit use w/ existing residence to remain.,2025-08-01,2,2,1012 W MILTON ST UNIT 2B,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13532672,1012 WEST MILTON STREET UNIT 2B,NA,Austin,Texas,United States,1
1301 WEBBERVILLE RD BLDG 2,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [1bed 1.5bath] with attached Carport. Bldg 2,2025-07-28,1,3,1301 WEBBERVILLE RD BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13511580,1301 WEBBERVILLE ROAD BLDG 2,NA,Austin,Texas,United States,1
2404 ARPDALE ST,ePlan: Residential Expedited Review - New construction of a 2-Story Single-Family Res. [4bed 4.5bath]  with attached Garage and attached Carport,2025-07-16,1,2,2404 ARPDALE ST,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13511311,2404 ARPDALE STREET,NA,Austin,Texas,United States,1
2114 W 11TH ST UNIT A,"ePlan: Residential Expedited Review: New construction of duplex residence.
UNIT 1: 2-story Primary residence covered patio w/grill  4 bed 2 bath.  Part of duplex use.",2025-08-15,2,2,2114 W 11TH ST UNIT A,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555974,2114 WEST 11TH STREET UNIT A,NA,Austin,Texas,United States,1
9213 CORVALLIS DR,Freestone S353 C Right New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2025-08-11,1,1,9213 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13563537,9213 CORVALLIS DRIVE,NA,Austin,Texas,United States,1
6112 CADDIE STREET Unit 2B,New 2 story duplex. 3 bedroom 1.5 bath with rear covered porch in each unit.,2025-08-06,2,2,6112 CADDIE ST UNIT 2B,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560995,6112 CADDIE STREET UNIT 2B,NA,Austin,Texas,United States,1
2107 PRATHER LN BLDG 3,Bldg 3: New construction of a 3-Story Single Family Res. [ 3 bed 2.5 bath] with Attached Carport and uncovered roof deck. Part of 3-unit use.,2025-07-31,1,3,2107 PRATHER LN BLDG 3,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13558835,2107 PRATHER LANE BLDG 3,NA,Austin,Texas,United States,1
10212 CURB STRAP DR,"New construction of 1 story SFR with 3 beds and 2 baths attached garage covered porch and patio

PUD

Revision: Plan revision to change the house plan from an X35KN to a T35AM",2025-07-21,1,1,10212 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13550548,10212 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
1004 JUANITA ST UNIT 2A,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 2a New 2-story Duplex [2bed 2.5bath] with attached carport",2025-07-24,2,2,1004 JUANITA ST UNIT 2A,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549487,1004 JUANITA STREET UNIT 2A,NA,Austin,Texas,United States,1
3616 PENNSYLVANIA AVE BLDG 3,Bldg #3: New 2-story dwelling unit 1 bath casita studio storage with attached wood deck and screened in porch,2025-07-15,1,2,3616 PENNSYLVANIA AVE BLDG 3,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13512794,3616 PENNSYLVANIA AVE BLDG 3,NA,Austin,Texas,United States,1
2104 S L DAVIS AVE--UNIT B,Unit B New construction of 3 story Duplex with roof top uncovered patio 3/2.5.  Part of 3-unit use.,2025-07-21,2,3,2104 S L DAVIS AVE UNIT 1B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13551609,2104 SOUTH L DAVIS AVE UNIT 1B,NA,Austin,Texas,United States,1
4004 PETES PATH,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5 bed 5.5 bath] with third-floor Habitable Attic,2025-08-13,1,3,4004 PETES PATH,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560867,4004 PETES PATH,NA,Austin,Texas,United States,1
8602 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 4 Bedrooms 3.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8002 PONCHO PASS 2025-070719 PR (INCLUDES 23 ADDRESSES.)",2025-07-28,1,2,8602 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555621,8602 COSMICO STREET,NA,Austin,Texas,United States,1
10200 CURB STRAP DR,New construction single-family residential 1-story 4 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.,2025-07-15,1,1,10200 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547540,10200 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
5013 STOCKTON LN,Reynolds 890-M-L Is a New two-story family residence with (5) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch & patio.,2025-07-22,1,2,5013 STOCKTON LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13553826,5013 STOCKTON LANE,NA,Austin,Texas,United States,1
5000 FINLEY DR,Expedited Plan Review - New construction of a 1-Story Single Family Res. [6bed 6.5bath] with Attached Garage.,2025-07-22,1,1,5000 FINLEY DR,78731,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13550891,5000 FINLEY DRIVE,NA,Austin,Texas,United States,1
8709 PEAFOWL ST,New two-story SFR (4br/3ba) with attached garage covered porch and covered patio *PRODUCTION BUILDER- GREEN BUILDING*,2025-07-15,1,2,8709 PEAFOWL ST,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547566,8709 PEAFOWL STREET,NA,Austin,Texas,United States,1
8609 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 4 Bedrooms 3.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8002 PONCHO PASS 2025-070719 PR (INCLUDES 23 ADDRESSES.)",2025-07-28,1,2,8609 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555627,8609 COSMICO STREET,NA,Austin,Texas,United States,1
1709 VALERIA ST,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4.5bath] with Habitable Attic Attached Garage Attached Carport,2025-07-16,1,2,1709 VALERIA ST,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13548981,1709 VALERIA STREET,NA,Austin,Texas,United States,1
17122 RADIANT DR,*SMART Housing* *Green Building* New 1-story 3 bedroom 1.5 bathroom single family residence with covered front porch and rear covered patio.,2025-07-28,1,1,17122 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555414,17122 RADIANT DRIVE,NA,Austin,Texas,United States,1
7524 SHERWOOD RD BLDG 2,ePlan: Residential Expedited Review - New construction of a TWO-UNIT RES. UNIT 2 1-Story [2bed 2bath] with attached Carport,2025-07-15,1,1,7524 SHERWOOD RD BLDG 2,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13487188,7524 SHERWOOD ROAD BLDG 2,NA,Austin,Texas,United States,1
1204 MARCY ST BLDG 2,"ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [1bed 1.5bath] with attached 
Garage. Bldg 2",2025-07-28,1,3,1204 MARCY ST BLDG 2,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13532603,1204 MARCY STREET BLDG 2,NA,Austin,Texas,United States,1
5017 STOCKTON LN,Winedale 880-N-L Is a New two-story single family residence with (5) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch & patio.,2025-07-22,1,2,5017 STOCKTON LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13552791,5017 STOCKTON LANE,NA,Austin,Texas,United States,1
2114 W 11TH ST UNIT B,UNIT 2: 2nd floor Garage apartment accessed via spiral stair 1 bed 1 bath.  Includes garage.,2025-08-18,2,2,2114 W 11TH ST UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555975,2114 WEST 11TH STREET UNIT B,NA,Austin,Texas,United States,1
9404 LILT DR BLDG 4,*SMART Housing* *Green Building* New 1-story 3 bedroom 1.5 bathroom single family residence with covered front porch and rear covered patio.,2025-07-15,1,1,9404 LILT DR BLDG 4,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547205,9404 LILT DRIVE BLDG 4,NA,Austin,Texas,United States,1
3616 PENNSYLVANIA AVE BLDG 2,Bldg #2: New 2-story dwelling unit 2 Bed/2.5 bath with attached wood deck,2025-07-15,1,2,3616 PENNSYLVANIA AVE BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13512793,3616 PENNSYLVANIA AVE BLDG 2,NA,Austin,Texas,United States,1
5519 JACKIE ROBINSON ST BLDG 11,Unit 11 - New three-story detached single family residence. (3) bedroom (2.5) bathrooms attached 1 car garage. Floor plan type: The Roosevelt D-L-Elevation Option 1. Building Height 31ft-4 7/8in. Maximum Height 40ft. Site Plan #: SP-2020-0393CSH. Expiration Date: 04-13-2025,2025-07-15,1,3,5519 JACKIE ROBINSON ST BLDG 11,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13385333,5519 JACKIE ROBINSON STREET BLDG 11,NA,Austin,Texas,United States,1
2109 OAK MOTTE LN,New manufactured home,2025-07-21,1,1,2109 OAK MOTTE LN,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13550464,2109 OAK MOTTE LANE,NA,Austin,Texas,United States,1
1014 BRICKELL LOOP UNIT B,"*Green Building* (Unit B/16) - New construction of attached condo (duplex) with 3 beds 2.5 baths and attached 2 car garage each

PUD",2025-08-13,2,2,1014 BRICKELL LOOP UNIT B,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547180,1014 BRICKELL LOOP UNIT B,NA,Austin,Texas,United States,1
6112 CADDIE STREET Unit 2A,New 2 story duplex. 3 bedroom 1.5 bath with rear covered porch in each unit.,2025-08-06,2,2,6112 CADDIE ST UNIT 2A,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560994,6112 CADDIE STREET UNIT 2A,NA,Austin,Texas,United States,1
1204 MARCY ST BLDG 1B,ePlan: Residential Expedited Review - ePlan: Residential Expedited Review - New construction of a 3-Story Duplex [3bed 3.5bath] with attached Carport. 1B,2025-07-28,2,3,1204 MARCY ST BLDG 1B,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13532602,1204 MARCY STREET BLDG 1B,NA,Austin,Texas,United States,1
8102 LEROI DR,"*Green Building* New 2 Story Condominium Single Family Residence 2 Bdrm 2.5 Bath Porch w/ 2-Car Garage

PUD UNIT 276",2025-07-18,1,2,8102 LEROI DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13549326,8102 LEROI DRIVE,NA,Austin,Texas,United States,1
3608 THOMPSON ST--BLDG 1,"ePlan: Residential Expedited Review. New Three Unit Residential:
Building 1: New construction of a 2-Story Single Family Res. [4bed 2.5bath] with attached garage",2025-08-04,1,2,3608 THOMPSON ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13558823,3608 THOMPSON STREET BLDG 1,NA,Austin,Texas,United States,1
8600 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 3 Bedrooms 2.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8000 PONCHO PASS 2025-070709 (INCLUDES 22 ADDRESSES.)",2025-07-28,1,2,8600 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555986,8600 COSMICO STREET,NA,Austin,Texas,United States,1
2308 S 2ND ST BLDG 1,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 3bath]. Bldg 1,2025-08-04,1,2,2308 S 2ND ST BLDG 1,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13503246,2308 SOUTH 2ND STREET BLDG 1,NA,Austin,Texas,United States,1
8601 SWANSON LN,New 2-story 4 bedroom 4.5 bathroom single family residence with attached garage covered front porch and rear covered patio.,2025-08-16,1,2,8601 SWANSON LN,78748,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13522596,8601 SWANSON LANE,NA,Austin,Texas,United States,1
10420 CURB STRAP DR,New single-story SFR (4br/2ba) with attached garage covered porch and covered patio *PRODUCTION BUILDER- GREEN BUILDING*,2025-07-15,1,1,10420 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547531,10420 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
9420 GAMBOL DR,*SMART Housing* *Green Building* New 1-story 3 bedroom 2 bathroom single family residence with covered front porch and rear covered patio.,2025-08-07,1,1,9420 GAMBOL DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13563130,9420 GAMBOL DRIVE,NA,Austin,Texas,United States,1
4707 DEPEW AVE UNIT A,"ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [3bed 2.5bath] Unit A
MODULAR CONSTRUCTION",2025-07-14,1,3,4707 DEPEW AVE UNIT A,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13434707,4707 DEPEW AVE UNIT A,NA,Austin,Texas,United States,1
8705 PEAFOWL ST,"New 2-story single family residence 3 bed/2.5 bath attached garage covered porch and covered rear patio green building 

PUD",2025-07-15,1,2,8705 PEAFOWL ST,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547989,8705 PEAFOWL STREET,NA,Austin,Texas,United States,1
17118 RADIANT DR,*SMART Housing* *Green Building* New 1-story 3 bedroom 2 bathroom single family residence with covered front porch and rear covered patio.,2025-07-28,1,1,17118 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555409,17118 RADIANT DRIVE,NA,Austin,Texas,United States,1
607 TILLERY ST--BLDG 1,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 1 New construction of a 3-Story Single Family Res. [3bed 3.5bath] with Attached Carport",2025-08-12,1,3,607 TILLERY ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13546582,607 TILLERY STREET BLDG 1,NA,Austin,Texas,United States,1
1014 BRICKELL LOOP UNIT A,"*Green Building* (Unit A/15) - New construction of attached condo (duplex) with 3 beds 2.5 baths and attached 2 car garage each

PUD",2025-08-13,2,2,1014 BRICKELL LOOP UNIT A,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547179,1014 BRICKELL LOOP UNIT A,NA,Austin,Texas,United States,1
5108 HARMON AVE UNIT A,New 3 story SFR with 3 bed 2.5 bath attached carport and front covered porch/rear covered patio,2025-08-07,1,3,5108 HARMON AVE UNIT A,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560949,5108 HARMON AVE UNIT A,NA,Austin,Texas,United States,1
1012 W MILTON ST UNIT 2A,ePlan: Residential Expedited Review - Unit 2A  Bldg 2.  New construction of a 2-Story Duplex unit [3 bed 3 bath].  Part of 3-unit use w/ existing residence to remain.,2025-07-18,2,2,1012 W MILTON ST UNIT 2A,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13532671,1012 WEST MILTON STREET UNIT 2A,NA,Austin,Texas,United States,1
10400 CURB STRAP DR,"New construction of 1 story SFR with attached garage covered porch and patio

PUD",2025-07-14,1,1,10400 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13546083,10400 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
6112 CADDIE STREET Bldg 1,New two story single family residence with rear patio and single car garage. 3Br 2.5 bath.,2025-08-06,1,2,6112 CADDIE ST BLDG 1,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13560993,6112 CADDIE STREET BLDG 1,NA,Austin,Texas,United States,1
1217 HARVEY ST BLDG 1,ePlan: Residential Expedited Review -Bldg 1: New construction of a 2-Story residence [3 bed 2.5 bath] with Attached Carport.  Part of three-unit use.,2025-07-16,1,2,1217 HARVEY ST BLDG 1,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13550216,1217 HARVEY STREET BLDG 1,NA,Austin,Texas,United States,1
8601 COSMICO ST,"ePlan: Residential Expedited Review - SITE PLAN APPROVED: PHASE A - Greystar Plan A577 
New 2 story SFR with 3 Bedrooms 2.5 Bath and an attached 2 car garage.

FOR RECORD SET SEE: 8000 PONCHO PASS 2025-070709 (INCLUDES 22 ADDRESSES.)",2025-07-28,1,2,8601 COSMICO ST,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13555987,8601 COSMICO STREET,NA,Austin,Texas,United States,1
