project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
2001 MELRIDGE PL BLDG 4,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Garage. Bldg 4,2026-01-07,1,3,2001 MELRIDGE PL BLDG 4,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13636111,2001 MELRIDGE PLACE BLDG 4,NA,Austin,Texas,United States,1,30.25667,-97.771252,1,rooftop,2001 Melridge Pl,Bldg 4,"Austin, TX 78704",NA,2001,Melridge Pl,Bldg,4,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usn7ms6najzs9qsa3uj69sfr3n3qd-hrfgtw2gxrpj6,building_centroid
3112 PRADO ST--BLDG 2,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with attached Carport. Bldg 2,2026-01-26,1,2,3112 PRADO ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627365,3112 PRADO STREET BLDG 2,NA,Austin,Texas,United States,1,30.260878,-97.705113,1,rooftop,3112 Prado St,Bldg 2,"Austin, TX 78702",NA,3112,Prado St,Bldg,2,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usnu4h32t37qu752jbjuq3vyh6rm7-7fuqlzkb3rseg,building_centroid
4706 DELORES AVE,New construction single-family residential 3-tory 4 bedroom 4 bath with attached 1-car carport covered front porch covered rear patio 3rd story balcony and exterior stairs.,2026-01-28,1,3,4706 DELORES AVE,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13645958,4706 DELORES AVE,NA,Austin,Texas,United States,1,30.276673,-97.686433,1,rooftop,4706 Delores Ave,NA,"Austin, TX 78721",NA,4706,Delores Ave,NA,NA,Austin,TX,NA,Travis County,78721,US,NA,City of Austin (Public Domain),gcod_usnc9fs5mra9a232clu67xnm4bdub,building_centroid
6508 AUBURNHILL BLDG 2,New second dwelling unit 1 story 1 bedroom 1 bath.  Existing residence to remain now 2-unit use.,2026-02-10,1,1,6508 AUBURNHILL BLDG 2,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13651931,6508 AUBURNHILL BLDG 2,NA,Austin,Texas,United States,1,30.314011,-97.677038,1,rooftop,6508 Auburnhill St,Bldg 2,"Austin, TX 78723",NA,6508,Auburnhill St,Bldg,2,Austin,TX,NA,Travis County,78723,US,NA,Statewide (CC 0 Texas Natural Resources Information System),gcod_usndhqwt69wp23pd6gpjvtsm2dsdf-4jlnu64ch6525,NA
8808 BREEZE HILL DR,*Green Building* New 2-story 3 bedroom 2.5 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-01-12,1,2,8808 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13638525,8808 BREEZE HILL DRIVE,NA,Austin,Texas,United States,1,30.145586,-97.713634,1,rooftop,8808 Breeze Hill Dr,NA,"Austin, TX 78744",NA,8808,Breeze Hill Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnr89vkhwcdyep9bryhzcfnvfee6,building_centroid
1405 ARCADIA AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic and Attached Garage.,2026-01-27,1,2,1405 ARCADIA AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13643881,1405 ARCADIA AVE,NA,Austin,Texas,United States,1,30.33516,-97.730572,1,rooftop,1405 Arcadia Ave,NA,"Austin, TX 78757",NA,1405,Arcadia Ave,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnmwtknq8l8rlb4ju72ummamq893,building_centroid
2404 EUCLID AVE BLDG 2,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 4.5bath] with Attached Carport. Bldg 2,2026-02-05,1,2,2404 EUCLID AVE BLDG 2,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13643908,2404 EUCLID AVE BLDG 2,NA,Austin,Texas,United States,1,30.239746,-97.756357,1,rooftop,2404 Euclid Ave,Bldg 2,"Austin, TX 78704",NA,2404,Euclid Ave,Bldg,2,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnwj6vglxgfgys8yg849zmr5fcl2-zrj76sw3hg2b8,building_centroid
1309 SWEET BARK ST,"New construction of a 2-story single family dwelling in a condo regime. 4 BEDROOM 3.5 BATH ATTACHED GARAGE 

Revision 1: The building footprint and floor plan for this lot have been revised. The updated design is a 3-bedroom 2.5-bath residence with an attached garage. All submitted plans have been updated to reflect these changes. The revised building footprint remains within the allowable building footprint per the approved Site Plan.",2026-01-13,1,2,1309 SWEET BARK ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639327,1309 SWEET BARK STREET,NA,Austin,Texas,United States,1,30.186511,-97.808044,1,rooftop,1309 Sweet Bark St,NA,"Austin, TX 78745",NA,1309,Sweet Bark St,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxmqsqa6enfdd7lgwlkvs2jg336,building_centroid
1314 SWEET BARK ST,1314 Sweet Bark St - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER- CONDO*,2026-01-14,1,2,1314 SWEET BARK ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639722,1314 SWEET BARK STREET,NA,Austin,Texas,United States,1,30.186849,-97.808064,1,rooftop,1314 Sweet Bark St,NA,"Austin, TX 78745",NA,1314,Sweet Bark St,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxmqsqa6enfdd7qhljukwrfnu39,building_centroid
1503 OAK HEIGHTS DR BLDG 1,ePlan: Residential Expedited Review - New TWO UNIT RES. Bldg 1 New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Carport and Autofill,2026-01-14,1,3,1503 OAK HEIGHTS DR BLDG 1,78741,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632453,1503 OAK HEIGHTS DRIVE BLDG 1,NA,Austin,Texas,United States,1,30.241878,-97.733399,1,rooftop,1503 Oak Heights Dr,Bldg 1,"Austin, TX 78741",NA,1503,Oak Heights Dr,Bldg,1,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usngnp6dbqadnry4w5l9xmf63q4aa-dx2rp933qf9cb,building_centroid
